Reference, Value, Footprint, Datasheet, Internal Part Number, PValue, Populated
"CON1","1-0000001","connectors:1-0000001","","1-0000001","Barrel Jack","1"
"U1","1-0000801","amplifiers:1-0000801","","1-0000801","INA129","1"
"SW1","1-0000852","switches:1-0000852","","1-0000852","1P-5T","1"
"R6","1-0000006","resistors_0603:1-0000006","~","1-0000006","NP","0"
"R8","1-0000177","resistors_0603:1-0000177","~","1-0000177","5.49k","1"
"R10","1-0000112","resistors_0603:1-0000112","~","1-0000112","100","1"
"R9","1-0000179","resistors_0603:1-0000179","~","1-0000179","499","1"
"R7","1-0000851","resistors_0603:1-0000851","~","1-0000851","49.9k","1"
"J1","1-0000120","connectors:1-0000120","~","1-0000120","TSW-102-07-T-S","1"
"C4","1-0000018","capacitors_0603:1-0000018","~","1-0000018","1uF","1"
"C3","1-0000007","capacitors_0603:1-0000007","~","1-0000007","0.1uF","1"
"J4","1-0000120","connectors:1-0000120","~","1-0000120","TSW-102-07-T-S","1"
"C1","1-0000018","capacitors_0603:1-0000018","~","1-0000018","1uF","1"
"C2","1-0000007","capacitors_0603:1-0000007","~","1-0000007","0.1uF","1"
"J3","Jumper","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","0-0000000","","0"
"R2","1-0000010","resistors_0603:1-0000010","~","1-0000010","10k","1"
"R4","1-0000011","resistors_0603:1-0000011","~","1-0000011","47k","1"
"J2","Jumper","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","0-0000000","","0"
"R5","1-0000010","resistors_0603:1-0000010","~","1-0000010","10k","1"
"R3","1-0000011","resistors_0603:1-0000011","~","1-0000011","47k","1"
"U2","1-0000465","dc_dc_converters:1-0000465","","1-0000465","TEC2-0921","1"
"D1","1-0000598","leds_0805:1-0000598","~","1-0000598","Green","1"
"R1","1-0000008","resistors_0603:1-0000008","~","1-0000008","150","1"
"H1","MountingHole","mechanical:MountingHole_3.2mm_M3_ISO7380","None","0-0000000","M3","0"
"H2","MountingHole","mechanical:MountingHole_3.2mm_M3_ISO7380","None","0-0000000","M3","0"
"H3","MountingHole","mechanical:MountingHole_3.2mm_M3_ISO7380","None","0-0000000","M3","0"
"H4","MountingHole","mechanical:MountingHole_3.2mm_M3_ISO7380","None","0-0000000","M3","0"
"FID1","Fiducial","mechanical:Fiducial_1mm_Mask2mm","~","0-0000000","Fiducial","0"
"FID2","Fiducial","mechanical:Fiducial_1mm_Mask2mm","~","0-0000000","Fiducial","0"
"PCB1","barepcb","misc:barepcb","","3-0000082","Bare PCB","1"
"J5","NP_Conn_01x04","np_connectors:PinHeader_1x04_P2.54mm_Vertical","~","0-0000000","Power","0"
